Mvir,Rvir,Xc,Yc,Zc,isolated
1127588235294.1177,226.09,8617.19562308,33730.46832809,14996.97007033,False
1126976470588.235,226.05,52054.33976818,54300.17319592,40341.33194499,True
1125798529411.7646,225.97,34288.89539719,11033.26870748,40488.17944674,True
1125444117647.0588,225.95,26549.95092591,26936.91795548,49542.27106571,True
1124808823529.4116,225.9,17060.13591356,27908.46751333,13399.01238386,True
1124430882352.9412,225.88,17603.53117686,54996.7473891,42392.87641589,True
1123464705882.3528,225.81,35187.36048077,52862.4870585,28264.57491282,True
1121697058823.5293,225.69,54548.23763945,37797.42338989,4937.54991006,True
1118751470588.235,225.5,33461.76538607,9957.61569724,55124.97877889,True
1118398529411.7646,225.48,20926.86500153,27274.46060058,11834.86923517,True
1118280882352.9412,225.47,15007.17921369,50472.19089978,28189.23842749,True
1117197058823.5293,225.41,28671.0100165,10017.70197128,6748.80877424,False
1116795588235.294,225.36,36853.70581675,30011.28400728,1639.32629645,True
1115594117647.0588,225.28,53271.30529425,1452.51632325,20105.93536497,True
1114298529411.7646,225.2,52069.19435563,7701.0851836,11492.17644528,True
1113214705882.3528,225.14,14196.36922759,48559.361754,18028.54818858,True
1111752941176.4705,225.03,3356.20000683,21557.9421552,17938.88559328,True
1111094117647.0588,224.98,13638.53550126,35823.30110256,35597.62273466,True
1110763235294.1177,224.96,28591.13919488,48803.68072291,22976.24897287,True
1109161764705.8823,224.88,46221.74770202,39187.41721723,56589.93991235,True
1108407352941.1763,224.8,22948.52667811,2682.96095826,8840.80520743,True
1108123529411.7646,224.78,19285.10167364,39428.83301545,28762.93874849,True
1107347058823.5293,224.73,49761.65088963,19336.79229549,20397.21954521,True
1107276470588.235,224.72,22913.44773098,39819.64425405,55606.88102867,True
1106239705882.3528,224.67,57117.21361705,10446.08522435,15629.5110928,True
1103341176470.5881,224.46,7742.58215913,35496.42508996,15181.22404814,True
1093419117647.0587,223.79,54652.26498259,15284.85430106,45484.83633633,True
1092972058823.5293,223.75,18089.59861178,56759.46906524,9922.8156749,False
1092617647058.8235,223.73,7563.33924624,44141.49106426,13309.09293341,True
1092288235294.1176,223.71,23467.93563741,47955.4980611,26319.53414992,True
1091439705882.3529,223.65,46157.23592199,17268.17430522,17564.31186323,True
1090544117647.0587,153.02,56481.27418615,13892.08039998,22052.17086008,False
1089366176470.5881,223.51,36789.93609763,45916.59667028,48975.87235438,True
1086185294117.647,223.29,36384.61779098,28794.02377417,37665.6552735,True
1084535294117.647,223.18,52408.69793243,18040.33735052,50853.71488514,False
1083757352941.1764,223.12,5631.12138115,28356.17715112,10144.19426812,True
1083286764705.8823,223.1,47349.25414118,29035.73865661,25177.4633696,True
1082414705882.3529,223.03,33322.96462091,10763.98171296,4793.79120779,True
1078902941176.4705,222.79,10956.88534993,48414.4510644,20932.01047909,True
1078220588235.2941,222.74,30165.26927164,27290.47237189,47266.13225706,True
1077819117647.0587,222.71,21167.03585345,59.67627061,38578.23677426,True
1077724999999.9999,222.71,52446.76061475,14062.20117673,28210.79893154,False
1077724999999.9999,222.71,10556.99599326,158.91708865,1394.62340647,True
1077583823529.4117,222.7,53014.49346425,52930.88143935,51061.67781742,True
1074355882352.941,222.48,27458.85607976,238.22460099,9121.53433299,True
1073152941176.4705,222.39,47355.04354376,12053.23891646,28005.78593726,True
1071457352941.1764,222.28,4977.13984996,54397.83577124,28127.50261859,False
1071220588235.2941,222.26,17522.61951318,35918.35061142,26854.43424714,True
1069995588235.2941,222.17,51821.84076572,21021.22206616,51173.35076144,True
1069642647058.8235,222.15,12476.86687766,45317.364422,19511.0812078,True
1069383823529.4117,222.13,53305.03384981,17433.41953924,48790.47708337,True
1068204411764.7058,222.05,45710.52312519,12498.46037618,57648.60265805,True
1066013235294.1176,221.92,10541.32260324,25890.89401554,24471.8707444,True
1064245588235.2941,221.79,5846.69252539,14135.4869698,20382.60494941,True
1062879411764.7058,221.69,53066.22911656,21656.00179697,51877.84256747,True
1062407352941.1764,221.65,56165.10546867,42264.91859868,8645.14644149,True
1056210294117.647,221.21,53393.86927283,14795.29592115,41501.506449,True
1053664705882.3529,221.04,30186.01586248,26735.21392942,48904.96744274,True
1053664705882.3529,221.04,22634.90253677,47206.0129316,27330.61824594,True
1051708823529.4117,220.9,14627.01623279,53596.91585094,30021.16061763,True
1049399999999.9999,220.74,26271.51229997,39592.17104594,26870.90860665,True
1048151470588.2352,220.65,55298.8260411,3207.20614324,18362.76237373,True
1046572058823.5293,220.54,18645.49463034,53715.71143981,37876.83082158,False
1045747058823.5293,220.48,30378.57478672,38364.82974821,11605.63570912,False
1045347058823.5293,220.45,1652.8814757,16349.27718128,14729.19862058,True
1045135294117.647,220.47,4303.73640731,28775.84729407,37696.60630776,True
1044239705882.3529,220.38,22965.46596578,28694.46361611,19299.92514805,True
1043438235294.1176,220.32,14808.4255737,50235.75616845,53893.494962,True
1042213235294.1176,220.24,8839.21201391,44221.59293466,22524.88894834,True
1038795588235.2941,219.99,27634.03191248,20771.6989049,54310.75200001,True
1036792647058.8235,219.85,4359.35448808,54931.97626082,24664.95845586,True
1036345588235.2941,219.83,31865.79301837,29363.57839094,21581.90268564,True
1035449999999.9999,219.76,10329.6759462,18647.90613969,10843.73454923,False
1032833823529.4117,219.58,15106.65914189,5559.36896749,12095.63132273,True
1030241176470.5881,219.39,8921.50520287,9311.11667212,31595.41214995,True
1029439705882.3529,219.34,11232.81424134,26149.03939435,13904.44938999,True
1028167647058.8235,219.25,6024.29122238,4591.43074468,11426.13482417,True
1028026470588.2352,219.23,57968.66042591,9222.20292784,12111.41430151,True
1027908823529.4117,219.22,43110.65758177,49675.51838424,46868.73731919,True
1027579411764.7058,219.2,2414.84350356,25204.12699237,20821.53103058,True
1024020588235.2941,218.95,6939.66527233,35825.34799047,46597.24494026,False
1023172058823.5293,218.88,19578.40784921,37280.1740459,28232.16509174,True
1022842647058.8235,218.86,57926.54286213,54868.79354299,36795.41208725,False
1019944117647.0587,218.66,40083.13165793,38553.8428114,16552.80044875,True
1019495588235.2941,218.62,34518.95861816,25154.80973657,2599.36805807,True
1016738235294.1176,218.42,57768.88680489,18938.53955731,21174.05014623,True
1016549999999.9999,218.42,34533.27188052,54296.95126024,1772.90771863,True
1013839705882.3529,218.22,53103.6331274,36473.64444029,43634.98253111,True
1013439705882.3529,218.18,45882.99634233,25256.1360296,29086.02911071,True
1013157352941.1764,218.17,1870.9558666,5875.26059235,55597.78228529,True
1012308823529.4117,218.11,10278.69804856,3152.64040095,21266.72052678,True
1011436764705.8823,218.04,16632.03520196,10424.10644104,29105.33887317,True
1009410294117.647,217.9,53947.19749331,24506.61378453,54601.74959283,True
1008561764705.8823,217.83,1287.65491953,12490.11229036,9623.56388672,True
1007760294117.647,217.78,52404.15227992,20891.67779292,53919.16903939,False
1004579411764.7058,217.55,26871.68055819,42932.92059245,23546.05673425,False
1004060294117.647,217.51,44621.28250504,49574.81945153,37785.51480978,True
1001161764705.8823,217.3,24794.79425013,39276.04430358,26491.11476401,True
1000124999999.9999,217.23,14937.22728573,50774.50074808,25369.27418795,True
999182352941.1764,217.16,47645.27799671,10290.96154208,52631.71354136,True
998641176470.5881,217.14,51060.50258929,24318.72361312,57118.09837031,True
997933823529.4117,217.08,53943.04123537,38850.71777873,1450.67530493,True
996473529411.7646,216.96,17232.30818526,53643.53759109,31473.48138772,False
995907352941.1764,216.93,48635.79048266,49289.15385519,48402.75569053,True
995435294117.647,216.89,37586.1826669,15723.6027258,48670.32877362,True
993079411764.7058,216.72,11845.62777227,9583.20481097,26865.44046449,True
992655882352.9412,216.68,15421.95006268,41824.37196173,45076.28418527,True
992419117647.0587,216.69,45818.64973524,7160.38169242,13587.1882609,True
990227941176.4705,216.51,10671.02747367,16890.74473999,19476.79176085,True
986339705882.3529,216.23,56141.89777594,1913.59886848,18876.8087175,True
984595588235.2941,216.09,29867.27207171,22321.68115635,55987.59304536,True
984030882352.9412,216.06,40154.22472518,43115.32212591,31713.239171,True
983747058823.5293,216.04,4.03796536,27114.55439458,52140.69777385,True
983158823529.4117,216.0,3454.09178311,14966.70941759,18607.26982846,True
982074999999.9999,215.91,31060.74401801,7608.57451819,55224.88981351,False
981226470588.2352,215.85,882.81837614,31800.9849,57864.30574894,True
978704411764.7058,215.66,55311.94459542,38705.28010809,6614.87790459,True
978657352941.1764,215.66,233.25389598,20374.78072691,21329.82398818,True
976795588235.2941,215.52,54251.96604072,1535.77589178,21109.04204877,True
976042647058.8235,215.47,19036.92837351,2032.94365283,54512.92301257,True
975688235294.1176,215.44,22872.09967608,33171.79616085,23543.16404603,True
974439705882.3529,215.36,32989.52657723,22624.49560044,3425.08617065,False
971752941176.4705,215.15,12407.64382645,55460.38139149,56797.50115227,True
971611764705.8823,215.14,34979.24390687,10200.80080615,41603.3282476,False
971447058823.5293,215.13,30397.81005947,26376.02889686,49724.78273907,False
971069117647.0587,215.11,12900.47047681,20369.94887353,24782.00201707,True
967864705882.3529,214.91,14303.22082159,12606.01055497,27159.89406499,False
967370588235.2941,214.84,55344.1678667,6329.10991079,39653.3706266,True
966992647058.8235,214.81,6644.34071883,11159.00975859,55061.23516507,True
964305882352.9412,214.6,53027.06062882,13968.26868276,30186.95645606,True
959498529411.7646,214.25,5365.42642392,15393.75301525,10164.66396648,True
958320588235.2941,214.16,27849.58768021,15416.32754305,7178.11278552,True
955682352941.1764,213.96,33499.67723637,52886.70337167,2133.61376856,True
954974999999.9999,213.91,43293.37277875,15132.86700343,7510.98713918,True
954810294117.647,213.9,11916.0199224,51051.59961826,18078.10096214,False
953891176470.5881,213.83,12027.21173125,16877.36652997,23550.17980697,True
952854411764.7058,213.76,2411.9200792,4887.17541239,56282.22552969,True
952288235294.1176,213.71,22498.05594572,3428.2468186,35419.78959667,True
950144117647.0587,213.54,14768.87002338,3851.60064849,10707.04316869,False
949483823529.4117,213.5,7603.35687329,16576.21646541,19099.15750927,False
945524999999.9999,213.21,46669.44562616,15543.89081551,1267.6032127,True
944582352941.1764,213.16,31617.75091834,44802.29266471,34489.57328507,True
943780882352.9412,213.07,4281.34028177,4340.50543676,53974.1941525,True
942720588235.2941,212.99,44210.79707019,50713.42575554,31899.30543528,True
941989705882.3529,212.94,31740.93998063,9958.04652907,56214.0317204,True
941777941176.4706,212.92,43878.508933,49816.11775204,50157.551316,True
941023529411.7646,212.86,22697.94785386,51245.98126407,38458.47169223,False
940952941176.4706,212.86,20867.11558479,25996.10411547,13695.20366813,False
939020588235.2941,212.71,46568.20647478,32185.43680668,46387.96905518,True
937607352941.1764,212.6,31429.69665114,23027.59546428,38266.01961054,True
937395588235.2941,212.59,54789.80913303,25142.21402463,53332.16701948,True
937348529411.7646,212.58,11907.28782954,29760.5758393,39793.73664959,True
936382352941.1764,212.52,21489.07490439,7939.71715347,7651.44430896,True
932470588235.2941,212.21,52445.7529272,13702.09729811,25258.18933877,False
932186764705.8823,212.2,1733.16549051,37502.56035833,32372.85115833,True
930655882352.9412,212.07,34343.5958603,19643.38172464,41071.3840012,True
929407352941.1764,211.98,5266.09335201,35837.98108186,16694.75775666,True
928274999999.9999,211.89,20134.71954221,45643.80760443,32608.15745759,True
926626470588.2352,211.78,3850.81272134,25842.7341891,49309.60345037,True
926013235294.1176,211.73,30509.17963324,35871.46051899,9457.33291349,False
925235294117.647,197.79,22589.59398368,1942.59243943,36781.03982516,False
923869117647.0587,211.56,42970.85685975,10595.65922644,30462.79567593,True
923091176470.5881,211.5,57470.22874869,16482.95914072,37410.29100143,False
922336764705.8823,211.46,13192.97983774,17577.8312056,12934.36862677,True
922313235294.1176,211.44,4189.74258867,34928.18163853,21082.98851008,True
920899999999.9999,211.33,24760.00624763,54253.78739263,15017.08406154,True
920569117647.0587,211.31,27911.33490191,53581.92030114,20533.51153165,True
920169117647.0587,211.28,8014.93091932,3004.53320268,3525.15103876,True
919745588235.2941,211.24,27208.56411621,54594.51768699,20524.69382746,True
919297058823.5293,211.21,52686.32042911,13606.56587713,26698.16026159,False
916680882352.9412,211.01,51791.04040714,42573.90892609,53040.72326393,False
916186764705.8823,210.97,53633.63042687,21693.16828406,27807.48572734,True
915998529411.7646,210.96,9609.27563215,39505.4056693,45049.87191722,True
915691176470.5881,210.93,29152.15274504,47400.31041963,38809.61595399,True
914513235294.1176,210.85,11853.60647455,3217.23721042,40250.34282289,True
914442647058.8235,210.84,46974.83923607,35936.73504551,42927.53480514,True
911191176470.5881,210.59,54763.62081967,22197.90460226,23863.43303077,True
909917647058.8235,210.49,13998.34771903,51245.19555028,27992.52863353,True
909823529411.7646,210.49,19050.19773672,31726.25274357,26619.62085661,True
909094117647.0587,210.43,8035.14529281,9664.85586595,46957.24109088,True
