Mvir,Rvir,Xc,Yc,Zc,Menv
1121697058823.5293,225.69,54548.23763945,37797.42338989,4937.54991006,64956239438917.51
1118751470588.235,225.5,33461.76538607,9957.61569724,55124.97877889,50487729861442.195
1118398529411.7646,225.48,20926.86500153,27274.46060058,11834.86923517,65822138195433.305
1118280882352.9412,225.47,15007.17921369,50472.19089978,28189.23842749,51702650974271.94
1117197058823.5293,225.41,28671.0100165,10017.70197128,6748.80877424,57576293561265.47
1116795588235.294,225.36,36853.70581675,30011.28400728,1639.32629645,40928179311415.375
1115594117647.0588,225.28,53271.30529425,1452.51632325,20105.93536497,52847725198700.18
1114298529411.7646,225.2,52069.19435563,7701.0851836,11492.17644528,33022331609048.254
1113214705882.3528,225.14,14196.36922759,48559.361754,18028.54818858,51362583347240.24
1111752941176.4705,225.03,3356.20000683,21557.9421552,17938.88559328,39164828160202.43
1111094117647.0588,224.98,13638.53550126,35823.30110256,35597.62273466,35515611022149.24
1110763235294.1177,224.96,28591.13919488,48803.68072291,22976.24897287,94007714173141.4
1109161764705.8823,224.88,46221.74770202,39187.41721723,56589.93991235,25304132615298.234
1108407352941.1763,224.8,22948.52667811,2682.96095826,8840.80520743,28742183097829.91
1108123529411.7646,224.78,19285.10167364,39428.83301545,28762.93874849,37194905543494.4
1107347058823.5293,224.73,49761.65088963,19336.79229549,20397.21954521,66212116655674.98
1107276470588.235,224.72,22913.44773098,39819.64425405,55606.88102867,42637754956780.74
1106239705882.3528,224.67,57117.21361705,10446.08522435,15629.5110928,53024180495714.484
1103341176470.5881,224.46,7742.58215913,35496.42508996,15181.22404814,61800145103391.09
1093419117647.0587,223.79,54652.26498259,15284.85430106,45484.83633633,81255449157839.08
1092972058823.5293,223.75,18089.59861178,56759.46906524,9922.8156749,40305071543833.66
1092617647058.8235,223.73,7563.33924624,44141.49106426,13309.09293341,27353210325845.887
1092288235294.1176,223.71,23467.93563741,47955.4980611,26319.53414992,53650987980394.41
1091439705882.3529,223.65,46157.23592199,17268.17430522,17564.31186323,38811163483707.98
1090544117647.0587,153.02,56481.27418615,13892.08039998,22052.17086008,114120271791828.98
1089366176470.5881,223.51,36789.93609763,45916.59667028,48975.87235438,24656894208808.58
1086185294117.647,223.29,36384.61779098,28794.02377417,37665.6552735,54364891989882.67
1084535294117.647,223.18,52408.69793243,18040.33735052,50853.71488514,72769547083675.97
1083757352941.1764,223.12,5631.12138115,28356.17715112,10144.19426812,34829631628975.355
1083286764705.8823,223.1,47349.25414118,29035.73865661,25177.4633696,29839396650752.25
1082414705882.3529,223.03,33322.96462091,10763.98171296,4793.79120779,55969037480488.2
1078902941176.4705,222.79,10956.88534993,48414.4510644,20932.01047909,37249717912732.55
1078220588235.2941,222.74,30165.26927164,27290.47237189,47266.13225706,48887896779938.375
1077819117647.0587,222.71,21167.03585345,59.67627061,38578.23677426,53425069586634.25
1077724999999.9999,222.71,10556.99599326,158.91708865,1394.62340647,55359597457600.42
1077724999999.9999,222.71,52446.76061475,14062.20117673,28210.79893154,81226652633673.56
1077583823529.4117,222.7,53014.49346425,52930.88143935,51061.67781742,36977093536242.375
1074355882352.941,222.48,27458.85607976,238.22460099,9121.53433299,32794198098044.6
1073152941176.4705,222.39,47355.04354376,12053.23891646,28005.78593726,50650800194687.25
1071457352941.1764,222.28,4977.13984996,54397.83577124,28127.50261859,40817399884163.21
1071220588235.2941,222.26,17522.61951318,35918.35061142,26854.43424714,54022255769451.59
1069995588235.2941,222.17,51821.84076572,21021.22206616,51173.35076144,82486889389686.86
1069642647058.8235,222.15,12476.86687766,45317.364422,19511.0812078,54638246883761.66
1069383823529.4117,222.13,53305.03384981,17433.41953924,48790.47708337,66435725671883.41
1068204411764.7058,222.05,45710.52312519,12498.46037618,57648.60265805,52659487363156.62
1066013235294.1176,221.92,10541.32260324,25890.89401554,24471.8707444,55927445119479.89
1064245588235.2941,221.79,5846.69252539,14135.4869698,20382.60494941,73836997944273.4
1062879411764.7058,221.69,53066.22911656,21656.00179697,51877.84256747,95952469287551.0
1062407352941.1764,221.65,56165.10546867,42264.91859868,8645.14644149,38519003658336.29
1056210294117.647,221.21,53393.86927283,14795.29592115,41501.506449,43140280225053.945
1053664705882.3529,221.04,30186.01586248,26735.21392942,48904.96744274,61508692230331.15
1053664705882.3529,221.04,22634.90253677,47206.0129316,27330.61824594,47782718230970.22
1051708823529.4117,220.9,14627.01623279,53596.91585094,30021.16061763,70473059629090.72
1049399999999.9999,220.74,26271.51229997,39592.17104594,26870.90860665,45168385017019.5
1048151470588.2352,220.65,55298.8260411,3207.20614324,18362.76237373,45203473416759.66
1046572058823.5293,220.54,18645.49463034,53715.71143981,37876.83082158,88911436348154.78
1045747058823.5293,220.48,30378.57478672,38364.82974821,11605.63570912,119231607701056.0
1045347058823.5293,220.45,1652.8814757,16349.27718128,14729.19862058,47865007480058.62
1045135294117.647,220.47,4303.73640731,28775.84729407,37696.60630776,35737594048040.62
1044239705882.3529,220.38,22965.46596578,28694.46361611,19299.92514805,27944128198165.65
1043438235294.1176,220.32,14808.4255737,50235.75616845,53893.494962,29095282212474.97
1042213235294.1176,220.24,8839.21201391,44221.59293466,22524.88894834,33537676279241.305
1038795588235.2941,219.99,27634.03191248,20771.6989049,54310.75200001,32613830998238.594
1036792647058.8235,219.85,4359.35448808,54931.97626082,24664.95845586,47903159339816.39
1036345588235.2941,219.83,31865.79301837,29363.57839094,21581.90268564,51819250975557.56
1035449999999.9999,219.76,10329.6759462,18647.90613969,10843.73454923,65066311913857.914
1032833823529.4117,219.58,15106.65914189,5559.36896749,12095.63132273,52052309587666.45
1030241176470.5881,219.39,8921.50520287,9311.11667212,31595.41214995,34308843425981.79
1029439705882.3529,219.34,11232.81424134,26149.03939435,13904.44938999,62885222641628.31
1028167647058.8235,219.25,6024.29122238,4591.43074468,11426.13482417,43547555451856.57
1028026470588.2352,219.23,57968.66042591,9222.20292784,12111.41430151,50248402938835.734
1027908823529.4117,219.22,43110.65758177,49675.51838424,46868.73731919,43988622999161.12
1027579411764.7058,219.2,2414.84350356,25204.12699237,20821.53103058,31210059357861.8
1024020588235.2941,218.95,6939.66527233,35825.34799047,46597.24494026,40141270693199.79
1023172058823.5293,218.88,19578.40784921,37280.1740459,28232.16509174,47071312119650.16
1022842647058.8235,218.86,57926.54286213,54868.79354299,36795.41208725,79231397559127.55
1019944117647.0587,218.66,40083.13165793,38553.8428114,16552.80044875,23333809392280.203
1019495588235.2941,218.62,34518.95861816,25154.80973657,2599.36805807,69190412484794.766
1016738235294.1176,218.42,57768.88680489,18938.53955731,21174.05014623,69333075461307.125
1016549999999.9999,218.42,34533.27188052,54296.95126024,1772.90771863,41229812297764.586
1013839705882.3529,218.22,53103.6331274,36473.64444029,43634.98253111,47056206905255.64
1013439705882.3529,218.18,45882.99634233,25256.1360296,29086.02911071,39974217861931.85
1013157352941.1764,218.17,1870.9558666,5875.26059235,55597.78228529,32197506781845.496
1012308823529.4117,218.11,10278.69804856,3152.64040095,21266.72052678,29286866288960.836
1011436764705.8823,218.04,16632.03520196,10424.10644104,29105.33887317,56694511942812.21
1009410294117.647,217.9,53947.19749331,24506.61378453,54601.74959283,65381047083051.69
1008561764705.8823,217.83,1287.65491953,12490.11229036,9623.56388672,50429264905259.98
1007760294117.647,217.78,52404.15227992,20891.67779292,53919.16903939,111762986438432.72
1004579411764.7058,217.55,26871.68055819,42932.92059245,23546.05673425,44195430115426.805
1004060294117.647,217.51,44621.28250504,49574.81945153,37785.51480978,33650812214199.324
1001161764705.8823,217.3,24794.79425013,39276.04430358,26491.11476401,36451686578145.336
1000124999999.9999,217.23,14937.22728573,50774.50074808,25369.27418795,49842447356348.375
999182352941.1764,217.16,47645.27799671,10290.96154208,52631.71354136,25940201175262.15
998641176470.5881,217.14,51060.50258929,24318.72361312,57118.09837031,49606608065146.58
997933823529.4117,217.08,53943.04123537,38850.71777873,1450.67530493,55784028060501.664
996473529411.7646,216.96,17232.30818526,53643.53759109,31473.48138772,82450057174244.38
995907352941.1764,216.93,48635.79048266,49289.15385519,48402.75569053,51126154929111.984
995435294117.647,216.89,37586.1826669,15723.6027258,48670.32877362,24395746024845.918
993079411764.7058,216.72,11845.62777227,9583.20481097,26865.44046449,80472876513802.25
992655882352.9412,216.68,15421.95006268,41824.37196173,45076.28418527,28426151849397.934
992419117647.0587,216.69,45818.64973524,7160.38169242,13587.1882609,24754005891366.79
990227941176.4705,216.51,10671.02747367,16890.74473999,19476.79176085,71370488458710.84
986339705882.3529,216.23,56141.89777594,1913.59886848,18876.8087175,48086354248869.42
984595588235.2941,216.09,29867.27207171,22321.68115635,55987.59304536,60466762348188.1
984030882352.9412,216.06,40154.22472518,43115.32212591,31713.239171,34750853576368.684
